,NOME,DISTRITO,CONCELHO,FREGUESIA,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),SISTEMA AQUÍFERO,ESTADO,marker site,latitude,longitude,site_id
679,AC 1,FARO,ALJEZUR,ALJEZUR,RIBEIRAS DO ALGARVE,11.0,140700.0,39050.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,100198,37.31562,-8.80205,584/13
680,AC 2,FARO,ALJEZUR,ALJEZUR,RIBEIRAS DO ALGARVE,11.0,140700.0,39100.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,100367,37.31607,-8.80206,584/14
681,SPA3,FARO,ALJEZUR,ALJEZUR,RIBEIRAS DO ALGARVE,9.85,140848.14,39342.85,A0 - MACIÇO ANTIGO INDIFERENCIADO,ABANDONADO,2021046,37.31827,-8.80041,584/22
682,,FARO,ALJEZUR,ALJEZUR,RIBEIRAS DO ALGARVE,10.98,140667.37,38843.42,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2021040,37.31375,-8.80241,584/39
683,,FARO,ALJEZUR,ALJEZUR,RIBEIRAS DO ALGARVE,11.16,141267.0,39873.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,100192,37.32307,-8.79572,584/4
684,,FARO,ALJEZUR,ALJEZUR,RIBEIRAS DO ALGARVE,9.08,141000.0,39650.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,100193,37.32104,-8.79872,584/7
685,,FARO,ALJEZUR,ALJEZUR,RIBEIRAS DO ALGARVE,13.06,140990.0,39364.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,ABANDONADO,100194,37.31846,-8.79881,584/8
686,,FARO,ALJEZUR,ALJEZUR,RIBEIRAS DO ALGARVE,13.89,141423.0,38799.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,100195,37.3134,-8.79388,584/9
687,,FARO,MONCHIQUE,MONCHIQUE,ARADE,517.68,162080.78,39797.68,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17527,37.32347,-8.5609,585/78
688,,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,RIBEIRAS DO ALGARVE,145.63,184330.0,32770.0,M0 - ORLA MERIDIONAL INDIFERENCIADO,EM SERVIÇO,100012,37.26079,-8.30973,587/1
689,,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,ARADE,137.56,190150.0,37800.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17528,37.3062,-8.24419,587/101
690,,FARO,LOULÉ,ALTE,RIBEIRAS DO ALGARVE,218.28,194650.0,30830.0,M0 - ORLA MERIDIONAL INDIFERENCIADO,ABANDONADO,100014,37.24343,-8.19338,587/19
691,1 AH,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,RIBEIRAS DO ALGARVE,140.0,186800.0,30700.0,M5 - QUERENÇA - SILVES,,100409,37.24218,-8.28185,587/20
692,,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,RIBEIRAS DO ALGARVE,164.0,189624.0,30885.0,M0 - ORLA MERIDIONAL INDIFERENCIADO,ENTULHADO,107611,37.24388,-8.25003,587/39
693,,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,RIBEIRAS DO ALGARVE,164.55,189560.0,30820.0,M0 - ORLA MERIDIONAL INDIFERENCIADO,EM SERVIÇO,100013,37.2433,-8.25075,587/7
694,JK 3,FARO,LOULÉ,SALIR,RIBEIRAS DO ALGARVE,220.76,206900.0,30120.0,M5 - QUERENÇA - SILVES,ABANDONADO,100425,37.23702,-8.05533,588/1
695,JK 4,FARO,LOULÉ,SALIR,RIBEIRAS DO ALGARVE,222.93,207030.0,30020.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100426,37.23612,-8.05386,588/2
696,,FARO,SÃO BRÁS DE ALPORTEL,SÃO BRÁS DE ALPORTEL,GUADIANA,445.36,226803.0,30855.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17529,37.24329,-7.83101,589/31
697,,FARO,LOULÉ,SALIR,RIBEIRAS DO ALGARVE,443.31,217250.0,30250.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17530,37.23806,-7.93869,589/32
698,,FARO,CASTRO MARIM,AZINHAL,GUADIANA,97.23,258600.0,35300.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17531,37.28188,-7.47231,591/62
699,,FARO,CASTRO MARIM,AZINHAL,GUADIANA,99.0,258653.0,35356.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2059330,37.28238,-7.47171,591/94
700,,FARO,LAGOS,BENSAFRIM,RIBEIRAS DO ALGARVE,15.0,150690.0,22140.0,M0 - ORLA MERIDIONAL INDIFERENCIADO,EM RESERVA,100213,37.16384,-8.68824,593/1
701,,FARO,LAGOS,BENSAFRIM,RIBEIRAS DO ALGARVE,72.0,145950.0,20200.0,M2 - ALMÁDENA - ODEÁXERE,EM SERVIÇO,100215,37.1461,-8.74146,593/3
702,,FARO,LAGOS,BENSAFRIM,RIBEIRAS DO ALGARVE,74.18,149124.0,22007.0,M2 - ALMÁDENA - ODEÁXERE,,17533,37.16256,-8.70586,593/5
703,,FARO,ALJEZUR,BORDEIRA,RIBEIRAS DO ALGARVE,121.45,139141.58,29603.39,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17534,37.23041,-8.81886,593/54
704,TS 1,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,58.68,161724.0,24238.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM RESERVA,101517,37.18326,-8.56413,594/102
705,FD 4,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,35.0,158740.0,22315.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,ABANDONADO,100294,37.16581,-8.59762,594/109
706,,FARO,PORTIMÃO,PORTIMÃO,ARADE,35.13,162600.0,22150.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM SERVIÇO,100015,37.16449,-8.55416,594/150
707,JCS 4/JCS 6,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,69.3,156280.0,23542.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,ABANDONADO,100330,37.17675,-8.62539,594/159
708,JCS 5,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,10.0,159150.0,23350.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM SERVIÇO,100332,37.17515,-8.59306,594/162
709,JCS 8,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,50.0,159650.0,25250.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM SERVIÇO,100392,37.19229,-8.58754,594/163
710,JCS 19,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,53.26,159223.02,26189.52,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM RESERVA,100340,37.20074,-8.5924,594/172
711,,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,48.65,159600.0,25500.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM SERVIÇO,100237,37.19455,-8.58811,594/28
712,,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,50.35,159450.0,26120.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM SERVIÇO,100242,37.20012,-8.58984,594/34
713,LF 11,FARO,PORTIMÃO,ALVOR,RIBEIRAS DO ALGARVE,3.0,156470.0,20860.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,ABANDONADO,100218,37.1526,-8.6231,594/4
714,,FARO,LAGOS,ODIÁXERE,RIBEIRAS DO ALGARVE,44.73,152364.4,20450.09,M2 - ALMÁDENA - ODEÁXERE,EM RESERVA,71833,37.1487,-8.66928,594/400
715,,FARO,PORTIMÃO,-,RIBEIRAS DO ALGARVE,12.15,163617.0,20752.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,,2059690,37.15193,-8.54264,594/466
716,,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,22.49,158158.0,22333.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM SERVIÇO,100252,37.16595,-8.60418,594/47
717,,FARO,PORTIMÃO,PORTIMÃO,RIBEIRAS DO ALGARVE,54.9,161730.0,23220.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM RESERVA,106087,37.17409,-8.56401,594/56
718,,FARO,PORTIMÃO,ALVOR,RIBEIRAS DO ALGARVE,24.51,161648.0,20654.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM SERVIÇO,100270,37.15097,-8.5648,594/71
719,FD14,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,41.17,157358.0,22434.0,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM RESERVA,100039,37.16682,-8.61319,594/95
720,RA1,FARO,SILVES,ALCANTARILHA,RIBEIRAS DO ALGARVE,79.99,181878.0,23989.0,M5 - QUERENÇA - SILVES,,72811,37.18163,-8.33716,595/1016
721,RA2,FARO,SILVES,-,RIBEIRAS DO ALGARVE,68.36,181692.0,27134.0,M5 - QUERENÇA - SILVES,,72815,37.20996,-8.33933,595/1024
722,RA3,FARO,SILVES,SILVES,RIBEIRAS DO ALGARVE,72.84,180505.0,26815.0,M5 - QUERENÇA - SILVES,,72818,37.20707,-8.3527,595/1025
723,RA4,FARO,SILVES,SILVES,RIBEIRAS DO ALGARVE,91.32,178125.0,25560.0,M5 - QUERENÇA - SILVES,,72821,37.1957,-8.37947,595/1028
724,RA5,FARO,SILVES,SILVES,ARADE,94.81,175360.0,23750.0,M5 - QUERENÇA - SILVES,,72824,37.17933,-8.41055,595/1033
725,FC,FARO,SILVES,SILVES,RIBEIRAS DO ALGARVE,92.56,178240.0,24100.0,M5 - QUERENÇA - SILVES,,2002788,37.18255,-8.37813,595/1056
726,,FARO,SILVES,SILVES,ARADE,50.4,174930.0,24570.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100018,37.1867,-8.41542,595/121
727,,FARO,SILVES,SILVES,RIBEIRAS DO ALGARVE,47.16,177560.0,26330.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100017,37.20263,-8.38586,595/160
728,2 AH,FARO,SILVES,ALCANTARILHA,RIBEIRAS DO ALGARVE,47.02,182000.0,25550.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100019,37.1957,-8.33582,595/212
729,,FARO,SILVES,SILVES,ARADE,63.76,172856.0,23637.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100041,37.17824,-8.43874,595/215
730,JK 4,FARO,SILVES,ALGOZ,RIBEIRAS DO ALGARVE,55.0,183500.0,20650.0,M0 - ORLA MERIDIONAL INDIFERENCIADO,ABANDONADO,100645,37.15157,-8.31882,595/218
731,PS 6,FARO,SILVES,SILVES,RIBEIRAS DO ALGARVE,82.0,179232.0,24621.0,M5 - QUERENÇA - SILVES,EM RESERVA,101522,37.18727,-8.36697,595/306
732,,FARO,SILVES,SILVES,RIBEIRAS DO ALGARVE,59.86,177635.0,26244.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,101524,37.20186,-8.38501,595/308
733,JCS 19,FARO,SILVES,SILVES,ARADE,34.73,171150.0,22656.0,M5 - QUERENÇA - SILVES,EM RESERVA,101525,37.16935,-8.45792,595/309
734,,FARO,SILVES,ALCANTARILHA,RIBEIRAS DO ALGARVE,58.49,180070.0,25460.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100040,37.19485,-8.35756,595/55
735,,FARO,SILVES,ALCANTARILHA,RIBEIRAS DO ALGARVE,49.37,181270.0,25660.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100045,37.19667,-8.34405,595/76
736,,FARO,SILVES,ALGOZ,RIBEIRAS DO ALGARVE,69.59,183740.0,26440.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100016,37.20375,-8.31625,595/80
737,,FARO,SILVES,ALGOZ,RIBEIRAS DO ALGARVE,94.35,187980.0,25590.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100001,37.19615,-8.26847,596/122
738,,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,75.34,197052.0,24728.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100020,37.18846,-8.16629,596/19
739,,FARO,SILVES,ALGOZ,RIBEIRAS DO ALGARVE,45.0,186290.0,23900.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,106141,37.1809,-8.28747,596/194
740,,FARO,SILVES,TUNES,RIBEIRAS DO ALGARVE,58.53,188274.0,22184.0,M0 - ORLA MERIDIONAL INDIFERENCIADO,EM SERVIÇO,100003,37.16547,-8.26511,596/218
741,,FARO,ALBUFEIRA,-,RIBEIRAS DO ALGARVE,69.53,195711.0,26540.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,105453,37.20478,-8.1814,596/24
742,,FARO,LOULÉ,ALTE,RIBEIRAS DO ALGARVE,134.25,192184.0,29747.0,M5 - QUERENÇA - SILVES,ABANDONADO,100883,37.23365,-8.22116,596/243
743,,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,RIBEIRAS DO ALGARVE,61.0,186660.0,26540.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100885,37.2047,-8.28336,596/245
744,8 AH,FARO,SILVES,-,RIBEIRAS DO ALGARVE,80.25,192038.0,25270.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100004,37.19331,-8.22276,596/259
745,9 AH,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,RIBEIRAS DO ALGARVE,84.64,184217.0,29418.0,M5 - QUERENÇA - SILVES,EM RESERVA,100037,37.23059,-8.31094,596/262
746,,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,71.38,193880.0,26190.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100722,37.20162,-8.20202,596/27
747,JCS 18,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,63.95,194800.0,24500.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100893,37.1864,-8.19165,596/272
748,FD 4,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,68.62,194600.0,24850.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100894,37.18955,-8.1939,596/273
749,FD 3,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,71.3,194850.0,25150.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100896,37.19225,-8.19109,596/275
750,FD 2,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,69.1,195350.0,25360.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100897,37.19415,-8.18546,596/276
751,FD 1,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,68.56,195250.0,25750.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100898,37.19766,-8.18659,596/277
752,AC 2,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,69.01,194950.0,25650.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100899,37.19676,-8.18997,596/278
753,FD 6,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,70.14,193600.0,26400.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100900,37.20351,-8.20518,596/279
754,,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,67.18,193740.0,25100.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100901,37.1918,-8.20359,596/284
755,,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,66.71,195300.0,26200.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,101001,37.20172,-8.18603,596/302
756,FD 5,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,69.06,195150.0,25450.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,106145,37.19496,-8.18771,596/322
757,,FARO,LOULÉ,ALTE,RIBEIRAS DO ALGARVE,96.64,197667.0,26453.0,M5 - QUERENÇA - SILVES,EM RESERVA,100021,37.204,-8.15937,596/35
758,,FARO,SILVES,ALGOZ,RIBEIRAS DO ALGARVE,107.0,190100.0,25320.0,M5 - QUERENÇA - SILVES,,20217,37.19375,-8.24459,596/399
759,,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,60.97,192930.0,24740.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100022,37.18855,-8.21271,596/51
760,,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,RIBEIRAS DO ALGARVE,85.26,186513.0,29101.0,M5 - QUERENÇA - SILVES,ABANDONADO,100002,37.22777,-8.28506,596/59
761,,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,RIBEIRAS DO ALGARVE,78.15,185180.0,28240.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100764,37.21999,-8.30006,596/86
762,,FARO,LOULÉ,ALTE,RIBEIRAS DO ALGARVE,72.0,195744.0,26623.0,M5 - QUERENÇA - SILVES,,2040932,37.20553,-8.18103,596/899
763,,FARO,LOULÉ,BENAFIM,RIBEIRAS DO ALGARVE,250.0,202950.0,27400.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,106146,37.21254,-8.09985,597/105
764,14 AH,FARO,LOULÉ,SALIR,RIBEIRAS DO ALGARVE,155.26,207543.0,28106.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100010,37.21887,-8.0481,597/111
765,,FARO,LOULÉ,LOULÉ (SÃO SEBASTIÃO),RIBEIRAS DO ALGARVE,144.0,203840.0,22665.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,101156,37.16987,-8.08985,597/121
766,,FARO,LOULÉ,BENAFIM,RIBEIRAS DO ALGARVE,110.0,204300.0,25020.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,101170,37.19109,-8.08466,597/138
767,,FARO,LOULÉ,QUERENÇA,RIBEIRAS DO ALGARVE,225.82,215250.0,23620.0,M5 - QUERENÇA - SILVES,,17535,37.17836,-7.96136,597/362
768,,FARO,LOULÉ,QUERENÇA,RIBEIRAS DO ALGARVE,132.69,207868.0,25450.0,M5 - QUERENÇA - SILVES,,17536,37.19494,-8.04447,597/364
769,,FARO,LOULÉ,-,RIBEIRAS DO ALGARVE,282.63,201004.0,29895.0,M5 - QUERENÇA - SILVES,EM RESERVA,17537,37.23502,-8.12177,597/365
770,,FARO,LOULÉ,-,RIBEIRAS DO ALGARVE,269.44,211677.0,22274.0,M8 - S. BRÁS DE ALPORTEL,,71840,37.16628,-8.00161,597/367
771,,FARO,LOULÉ,-,RIBEIRAS DO ALGARVE,204.2,210958.56,20086.41,M8 - S. BRÁS DE ALPORTEL,EM RESERVA,2061290,37.14658,-8.00974,597/642
772,,FARO,LOULÉ,LOULÉ (SÃO SEBASTIÃO),RIBEIRAS DO ALGARVE,221.52,203420.0,21200.0,M0 - ORLA MERIDIONAL INDIFERENCIADO,EM SERVIÇO,100005,37.15667,-8.09458,597/78
773,,FARO,LOULÉ,BOLIQUEIME,RIBEIRAS DO ALGARVE,253.43,200950.0,21100.0,M7 - QUARTEIRA,EM SERVIÇO,100912,37.15577,-8.12239,597/79
774,,FARO,LOULÉ,LOULÉ (SÃO SEBASTIÃO),RIBEIRAS DO ALGARVE,97.95,204050.0,24450.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100902,37.18595,-8.08747,597/80
775,,FARO,LOULÉ,BENAFIM,RIBEIRAS DO ALGARVE,181.58,200162.0,27486.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,105465,37.21332,-8.13126,597/81
776,,FARO,LOULÉ,SALIR,RIBEIRAS DO ALGARVE,161.7,205350.0,28400.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100904,37.22154,-8.07281,597/82
777,,FARO,LOULÉ,BENAFIM,RIBEIRAS DO ALGARVE,282.48,201200.0,29900.0,M5 - QUERENÇA - SILVES,EM SERVIÇO,100006,37.23507,-8.11956,597/83
778,,FARO,LOULÉ,QUERENÇA,RIBEIRAS DO ALGARVE,212.33,213310.0,26450.0,M0 - ORLA MERIDIONAL INDIFERENCIADO,EM SERVIÇO,100007,37.20389,-7.98315,597/84
